name,address,phone,email,rating,reviews,category,maps_url
Auto-Serwis Mechanik Samochodowy,"Księdza Jana Pojdy 45/43, 44-213 Rybnik",605 984 324,,"4,7",39,Mechanik samochodowy,https://www.google.com/maps/place/Auto-Serwis+Mechanik+Samochodowy/data=!4m7!3m6!1s0x4711499054e2f213:0x20b190aa15a5c95c!8m2!3d50.1435031!4d18.5991602!16s%2Fg%2F11jsf8r6k8!19sChIJE_LiVJBJEUcRXMmlFaqQsSA?authuser=0&hl=pl&rclk=1
CCS Car Custom Service,"Wodzisławska 161a, 44-218 Rybnik",797 197 665,,"4,6",254,Mechanik samochodowy,https://www.google.com/maps/place/CCS+Car+Custom+Service/data=!4m7!3m6!1s0x47114f9a2813a947:0x3f74a707ff03e39a!8m2!3d50.0769496!4d18.5238417!16s%2Fg%2F11rrjs_p33!19sChIJR6kTKJpPEUcRmuMD_wendD8?authuser=0&hl=pl&rclk=1
Diagnostyka serwis olejowy,"Skowronków 17, 44-207 Rybnik",511 240 779,,,,Mechanik samochodowy,https://www.google.com/maps/place/Diagnostyka+serwis+olejowy/data=!4m7!3m6!1s0x47114976e5ec1eb3:0x935e060a2ec4a8a8!8m2!3d50.1412872!4d18.5153033!16s%2Fg%2F11ywm_hgz9!19sChIJsx7s5XZJEUcRqKjELgoGXpM?authuser=0&hl=pl&rclk=1
Drive Serwis,"Żorska 60, 44-203 Rybnik",577 448 874,,"4,5",145,Warsztat samochodowy,https://www.google.com/maps/place/Drive+Serwis/data=!4m7!3m6!1s0x47114f458ed94ccf:0xd96cf7486fba175a!8m2!3d50.091252!4d18.573177!16s%2Fg%2F11wfrc184l!19sChIJz0zZjkVPEUcRWhe6b0j3bNk?authuser=0&hl=pl&rclk=1
Drive Serwis,"Żorska 60, 44-203 Rybnik",577 448 874,,"4,5",145,Warsztat samochodowy,https://www.google.com/maps/place/Drive+Serwis/data=!4m7!3m6!1s0x47114f458ed94ccf:0xd96cf7486fba175a!8m2!3d50.0912515!4d18.5731773!16s%2Fg%2F11wfrc184l!19sChIJz0zZjkVPEUcRWhe6b0j3bNk?authuser=0&hl=pl&rclk=1
ELEKTROMECHANIKA POJAZDOWA KARWOT HIERONIM,"Karola Miarki 12, 44-203 Rybnik",605 241 883,,"4,6",88,Warsztat samochodowy,https://www.google.com/maps/place/ELEKTROMECHANIKA+POJAZDOWA+KARWOT+HIERONIM/data=!4m7!3m6!1s0x47114ecae2586841:0x5283b91fc8065617!8m2!3d50.0973704!4d18.5712541!16s%2Fg%2F11h17y_t3!19sChIJQWhY4spOEUcRF1YGyB-5g1I?authuser=0&hl=pl&rclk=1
"Eugeniusz Górecki - mechnika pojazdowa, serwis samochodowy",,32 430 43 33,,,,Warsztat samochodowy,"https://www.google.com/maps/place/Eugeniusz+G%C3%B3recki+-+mechnika+pojazdowa,+serwis+samochodowy/data=!4m7!3m6!1s0x47114d9505d3862b:0x23bd2d0f8ebebf8c!8m2!3d50.2936108!4d18.4409508!16s%2Fg%2F1tzgmyz1!19sChIJK4bTBZVNEUcRjL--jg8tvSM?authuser=0&hl=pl&rclk=1"
EuroWarsztat Semi Nosiadek,"Boguszowicka 4, 44-264 Jankowice",32 430 44 99,,"5,0",22,Mechanik samochodowy,https://www.google.com/maps/place/EuroWarsztat+Semi+Nosiadek/data=!4m7!3m6!1s0x47114f7b5bb77241:0x33dd6b4075c5b604!8m2!3d50.0507588!4d18.5722642!16s%2Fg%2F11h_cvxqx3!19sChIJQXK3W3tPEUcRBLbFdUBr3TM?authuser=0&hl=pl&rclk=1
F.S Cars Filip Szmytkowski,"Maksymiliana Buhla 38, 44-217 Rybnik",608 142 160,,"4,8",102,Mechanik samochodowy,https://www.google.com/maps/place/F.S+Cars+Filip+Szmytkowski/data=!4m7!3m6!1s0x47114f789a304d9f:0x48a86003d1569854!8m2!3d50.105385!4d18.4938659!16s%2Fg%2F11vll8lf5k!19sChIJn00wmnhPEUcRVJhW0QNgqEg?authuser=0&hl=pl&rclk=1
G&J Garage Sp. z o.o.,"Podmiejska 71, 44-207 Rybnik",,,"4,7",176,Warsztat samochodowy,https://www.google.com/maps/place/G%26J+Garage+Sp.+z+o.o./data=!4m7!3m6!1s0x471149a712a0a2e9:0xfa2c18f19fd7467a!8m2!3d50.1357771!4d18.5301412!16s%2Fg%2F11vkr03_c6!19sChIJ6aKgEqdJEUcRekbXn_EYLPo?authuser=0&hl=pl&rclk=1
GRUPA PITSTOP Mateusz Jakubiak,"Świętego Maksymiliana 31, 44-207 Rybnik",501 667 567,,"4,8",158,Myjnia samochodowa,https://www.google.com/maps/place/GRUPA+PITSTOP+Mateusz+Jakubiak/data=!4m7!3m6!1s0x471148bee0f25213:0x3a729d8ac18d36e2!8m2!3d50.1240126!4d18.5257015!16s%2Fg%2F1tf303cv!19sChIJE1Ly4L5IEUcR4jaNwYqdcjo?authuser=0&hl=pl&rclk=1
Gaura Edward. Autonaprawa,"Księdza Jana Pojdy 60, 44-213 Rybnik",32 426 60 96,,"5,0",4,Warsztat samochodowy,https://www.google.com/maps/place/Gaura+Edward.+Autonaprawa/data=!4m7!3m6!1s0x471149a49187c4ff:0x4fb4c5dbd9955ea0!8m2!3d50.1460604!4d18.5988263!16s%2Fg%2F1tdnvmkg!19sChIJ_8SHkaRJEUcRoF6V2dvFtE8?authuser=0&hl=pl&rclk=1
Groborz Krzysztof. Autoelektronika,"Gliwicka 243, 44-207 Rybnik",515 120 401,,"4,5",251,Mechanik samochodowy,https://www.google.com/maps/place/Groborz+Krzysztof.+Autoelektronika/data=!4m7!3m6!1s0x471148f402a667a1:0x6049157f40a28ce5!8m2!3d50.140665!4d18.5491849!16s%2Fg%2F1vc80jvb!19sChIJoWemAvRIEUcR5YyiQH8VSWA?authuser=0&hl=pl&rclk=1
Gryt Dariusz Mechanika Pojazdowa,"Księdza Piotra Skargi 20, 44-273 Rybnik",509 119 783,,"4,5",73,Mechanik samochodowy,https://www.google.com/maps/place/Gryt+Dariusz+Mechanika+Pojazdowa/data=!4m7!3m6!1s0x47114f88eb0ffddd:0x3554d3a2d1ed681b!8m2!3d50.062349!4d18.461847!16s%2Fg%2F1yj2mg631!19sChIJ3f0P64hPEUcRG2jt0aLTVDU?authuser=0&hl=pl&rclk=1
Jenderko Adam. Elektromechanika pojazdowa,"Rajska 87A, 44-253 Rybnik",504 122 207,,"4,7",19,Mechanik samochodowy,https://www.google.com/maps/place/Jenderko+Adam.+Elektromechanika+pojazdowa/data=!4m7!3m6!1s0x47114db543de26a7:0x3b47650336afff5c!8m2!3d50.048828!4d18.6086479!16s%2Fg%2F1thclhk7!19sChIJpybeQ7VNEUcRXP-vNgNlRzs?authuser=0&hl=pl&rclk=1
KUBICAR Jakub Rzodeczko,"Gruntowa 88, 44-210 Rybnik",785 531 446,,"4,8",102,Mechanik samochodowy,https://www.google.com/maps/place/KUBICAR+Jakub+Rzodeczko/data=!4m7!3m6!1s0x47114f4015fbed3f:0x5027cf8559cb5c1a!8m2!3d50.0836277!4d18.4979076!16s%2Fg%2F11g4d51mdy!19sChIJP-37FUBPEUcRGlzLWYXPJ1A?authuser=0&hl=pl&rclk=1
Karcz Marian. Mechanika pojazdowa,"Jana Karskiego 16, 44-251 Rybnik",603 583 649,,"4,6",38,Warsztat samochodowy,https://www.google.com/maps/place/Karcz+Marian.+Mechanika+pojazdowa/data=!4m7!3m6!1s0x47114c32142ee3dd:0x716517fbf8822065!8m2!3d50.056953!4d18.5961464!16s%2Fg%2F11g_d__sf!19sChIJ3eMuFDJMEUcRZSCC-PsXZXE?authuser=0&hl=pl&rclk=1
Klinika podwozi/Piaskowanie/Konserwacja/Auto konserwacja,"Żorska 8, 44-240 Rybnik",884 806 473,,"4,5",42,Mechanik samochodowy,https://www.google.com/maps/place/Klinika+podwozi%2FPiaskowanie%2FKonserwacja%2FAuto+konserwacja/data=!4m7!3m6!1s0x47114bbc39385a8d:0xa504c89d9f0cf612!8m2!3d50.0942723!4d18.5634184!16s%2Fg%2F11spqfw6c1!19sChIJjVo4ObxLEUcREvYMn53IBKU?authuser=0&hl=pl&rclk=1
"Las Michał. Mechanika pojazdowa, tłumiki","Joachima Lelewela 13, 44-200 Rybnik",609 058 343,,"4,8",102,Warsztat samochodowy,"https://www.google.com/maps/place/Las+Micha%C5%82.+Mechanika+pojazdowa,+t%C5%82umiki/data=!4m7!3m6!1s0x47114edb4660164d:0xa5c3b5b6dd821a33!8m2!3d50.0875297!4d18.5515766!16s%2Fg%2F1tnhx1lt!19sChIJTRZgRttOEUcRMxqC3ba1w6U?authuser=0&hl=pl&rclk=1"
MAR-CAR AUTOGAZ MAREK MAŃCZYK,"Wiejska 16, 44-200 Rybnik",606 470 268,,"4,5",226,Warsztat samochodowy,https://www.google.com/maps/place/MAR-CAR+AUTOGAZ+MAREK+MA%C5%83CZYK/data=!4m7!3m6!1s0x47114f27cef87bad:0x927c107f729a6a52!8m2!3d50.0932807!4d18.5370081!16s%2Fg%2F1tzzt745!19sChIJrXv4zidPEUcRUmqacn8QfJI?authuser=0&hl=pl&rclk=1
MUL-MAR MARCIN MULARCZYK,"Budowlanych, 44-217 Rybnik",797 499 346,,"4,4",41,Mechanik samochodowy,https://www.google.com/maps/place/MUL-MAR+MARCIN+MULARCZYK/data=!4m7!3m6!1s0x47114f59be6888af:0xab5e0d8bd03a84c4!8m2!3d50.1001712!4d18.5208934!16s%2Fg%2F11h0g_p11b!19sChIJr4hovllPEUcRxIQ60IsNXqs?authuser=0&hl=pl&rclk=1
Marek Lyp Mechanika ElektronikaPojazdowa,"1 Maja 78c, 44-206 Rybnik",601 476 616,,"4,4",41,Mechanik samochodowy,https://www.google.com/maps/place/Marek+Lyp+Mechanika+ElektronikaPojazdowa/data=!4m7!3m6!1s0x47114f84c3fad68b:0xf691de72c254ebb5!8m2!3d50.0645513!4d18.5513287!16s%2Fg%2F11whflm1lm!19sChIJi9b6w4RPEUcRtetUwnLekfY?authuser=0&hl=pl&rclk=1
Małek Mariusz. Blacharstwo samochodowe,"Energetyków 19, 44-200 Rybnik",32 424 72 89,,"4,5",24,Blacharstwo samochodowe,https://www.google.com/maps/place/Ma%C5%82ek+Mariusz.+Blacharstwo+samochodowe/data=!4m7!3m6!1s0x471148b7d1262935:0xced32585bcb3cb8!8m2!3d50.115592!4d18.5236239!16s%2Fg%2F1v16p0dw!19sChIJNSkm0bdIEUcRuDzLW1gy7Qw?authuser=0&hl=pl&rclk=1
Mechanik samochodowy K.H.B Garage Kamil Hanak,"Mikołowska 35/m. 2, 44-200 Rybnik",539 426 493,,,,Mechanik samochodowy,https://www.google.com/maps/place/Mechanik+samochodowy+K.H.B+Garage+Kamil+Hanak/data=!4m7!3m6!1s0x47114f55600cd521:0x659cdeef502d7466!8m2!3d50.0996315!4d18.5569373!16s%2Fg%2F11yzwh0ncg!19sChIJIdUMYFVPEUcRZnQtUO_enGU?authuser=0&hl=pl&rclk=1
"Mechanika Pojazdowa ""GOTARTOWICKA 22""","Gotartowicka 22, 44-251 Rybnik",32 426 76 13,,"4,8",149,Mechanik samochodowy,https://www.google.com/maps/place/Mechanika+Pojazdowa+%22GOTARTOWICKA+22%22/data=!4m7!3m6!1s0x47114c1409906611:0x4db637a1fcafbf7d!8m2!3d50.0755836!4d18.6166858!16s%2Fg%2F11cmh657qv!19sChIJEWaQCRRMEUcRfb-v_KE3tk0?authuser=0&hl=pl&rclk=1
Mechanika Samochodowa Sebastian Nosiadek,"Rybnicka 38, 44-207 Rybnik",,,"5,0",23,Warsztat samochodowy,https://www.google.com/maps/place/Mechanika+Samochodowa+Sebastian+Nosiadek/data=!4m7!3m6!1s0x47114872c9cb9485:0x185d91bc1d4c3a69!8m2!3d50.1674602!4d18.5417448!16s%2Fg%2F11h0vq2sxf!19sChIJhZTLyXJIEUcRaTpMHbyRXRg?authuser=0&hl=pl&rclk=1
Motovibe Serwis BMW - mechanika samochodowa,"Rudzka 102, 44-200 Rybnik",503 504 313,,,,Mechanik samochodowy,https://www.google.com/maps/place/Motovibe+Serwis+BMW+-+mechanika+samochodowa/data=!4m7!3m6!1s0x471149278610ebb9:0x7effbfb6edf69b74!8m2!3d50.1097012!4d18.5357579!16s%2Fg%2F11x74trbqh!19sChIJuesQhidJEUcRdJv27ba__34?authuser=0&hl=pl&rclk=1
NikoSerwis,"Jankowicka 9, 44-200 Rybnik",691 407 374,,"4,3",45,Warsztat samochodowy,https://www.google.com/maps/place/NikoSerwis/data=!4m7!3m6!1s0x47114dcf5939cbc3:0x61a32faf3cd289e0!8m2!3d50.0867503!4d18.5413747!16s%2Fg%2F11s38svg02!19sChIJw8s5Wc9NEUcR4InSPK8vo2E?authuser=0&hl=pl&rclk=1
Piotr Filusz Blacharstwo i mechanika pojazdowa,"Karola Miarki 15, 44-203 Rybnik",604 990 531,,"5,0",22,Blacharstwo samochodowe,https://www.google.com/maps/place/Piotr+Filusz+Blacharstwo+i+mechanika+pojazdowa/data=!4m7!3m6!1s0x47114ecae50726d5:0x27e076ed7ee4140b!8m2!3d50.0972729!4d18.5717041!16s%2Fg%2F1w0sblr4!19sChIJ1SYH5cpOEUcRCxTkfu124Cc?authuser=0&hl=pl&rclk=1
Pomoc Drogowa Auto Serwis Unkel VW Garbus Kafer i samochody clasyczne.,"Rudzka 71, 44-200 Rybnik",502 331 215,,"4,5",77,Siedziba firmy,https://www.google.com/maps/place/Pomoc+Drogowa+Auto+Serwis+Unkel+VW+Garbus+Kafer+i+samochody+clasyczne./data=!4m7!3m6!1s0x471148d2786eb263:0x5c5ecdf07884e2d1!8m2!3d50.1085058!4d18.5356032!16s%2Fg%2F11hcds3bn1!19sChIJY7JueNJIEUcR0eKEePDNXlw?authuser=0&hl=pl&rclk=1
Pyszny Mirosław. Mechanika pojazdowa,"Wiosny Ludów 32, 44-207 Rybnik",601 407 261,,"4,6",88,Mechanik samochodowy,https://www.google.com/maps/place/Pyszny+Miros%C5%82aw.+Mechanika+pojazdowa/data=!4m7!3m6!1s0x471148f7c9f98243:0xc4d685784483bda7!8m2!3d50.143092!4d18.5553599!16s%2Fg%2F1ptyy2626!19sChIJQ4L5yfdIEUcRp72DRHiF1sQ?authuser=0&hl=pl&rclk=1
Rojek Daniel. Mechanika i diagnostyka pojazdowa,"Wiejska 43, 44-200 Rybnik",506 666 705,,"4,6",147,Warsztat samochodowy,https://www.google.com/maps/place/Rojek+Daniel.+Mechanika+i+diagnostyka+pojazdowa/data=!4m7!3m6!1s0x47114f2709d96987:0xe0fa110e02d4e2b0!8m2!3d50.0914954!4d18.5366994!16s%2Fg%2F1td_9dnz!19sChIJh2nZCSdPEUcRsOLUAg4R-uA?authuser=0&hl=pl&rclk=1
SebSerwis ProfiAuto,"Świętego Huberta 9a, 44-207 Rybnik",668 149 573,,"4,6",23,Warsztat samochodowy,https://www.google.com/maps/place/SebSerwis+ProfiAuto/data=!4m7!3m6!1s0x471149427a207a79:0xe32532ebb8d91c8a!8m2!3d50.1681956!4d18.5428922!16s%2Fg%2F11qnhvpnv7!19sChIJeXogekJJEUcRihzZuOsyJeM?authuser=0&hl=pl&rclk=1
Serwis Mobilny Tir Naprawy Rybnik,"Maksymiliana Dudka, 44-213 Rybnik",792 743 312,,"3,4",10,Mechanik samochodowy,https://www.google.com/maps/place/Serwis+Mobilny+Tir+Naprawy+Rybnik/data=!4m7!3m6!1s0x471149c96bbf6a37:0xfde9c08ad08c890f!8m2!3d50.1442638!4d18.6151621!16s%2Fg%2F11w1wwqjmn!19sChIJN2q_a8lJEUcRD4mM0IrA6f0?authuser=0&hl=pl&rclk=1
"Serwis Samochodowy Misterek mechanika, opony","Gajowa 4, 44-200 Rybnik",32 440 25 05,,"4,5",77,Mechanik samochodowy,"https://www.google.com/maps/place/Serwis+Samochodowy+Misterek+mechanika,+opony/data=!4m7!3m6!1s0x47114f4810b7d6af:0xa944e00bcbdf034f!8m2!3d50.0991302!4d18.5138017!16s%2Fg%2F11c32fdknk!19sChIJr9a3EEhPEUcRTwPfywvgRKk?authuser=0&hl=pl&rclk=1"
Serwis samochodowy - Kalkowski Andrzej,"Żorska 259, 44-203 Rybnik",692 886 719,,"4,8",149,Warsztat samochodowy,https://www.google.com/maps/place/Serwis+samochodowy+-+Kalkowski+Andrzej/data=!4m7!3m6!1s0x47114c1cb7488bc9:0xcf9afcf84d15f740!8m2!3d50.0827414!4d18.6028569!16s%2Fg%2F11gff7wmd0!19sChIJyYtItxxMEUcRQPcVTfj8ms8?authuser=0&hl=pl&rclk=1
Sowada sp.j.,"Chwałowicka 90, 44-200 Rybnik",32 421 74 56,,"4,7",215,Warsztat samochodowy,https://www.google.com/maps/place/Sowada+sp.j./data=!4m7!3m6!1s0x47114ee8d52cd687:0x41d8ac70f5fa21f5!8m2!3d50.0763575!4d18.547436!16s%2Fg%2F1tjgn9_q!19sChIJh9Ys1ehOEUcR9SH69XCs2EE?authuser=0&hl=pl&rclk=1
"Turbosprężarki Regeneracja, Sprzedaż Rybnik","Wyzwolenia 15, 44-200 Rybnik",730 900 687,,"4,6",59,Mechanik samochodowy,"https://www.google.com/maps/place/Turbospr%C4%99%C5%BCarki+Regeneracja,+Sprzeda%C5%BC+Rybnik/data=!4m7!3m6!1s0x47114f7bc6a2bc05:0x191409f35dd9ff1d!8m2!3d50.1017129!4d18.5493251!16s%2Fg%2F11gy635v5n!19sChIJBbyixntPEUcRHf_ZXfMJFBk?authuser=0&hl=pl&rclk=1"
"Twój Warsztat - opony, serwis, diagnostyka, mechanika, elektryka - Paweł Dzieżok","Kolejowa 42A, 44-200 Rybnik",662 931 661,,"4,5",423,Warsztat samochodowy,"https://www.google.com/maps/place/Tw%C3%B3j+Warsztat+-+opony,+serwis,+diagnostyka,+mechanika,+elektryka+-+Pawe%C5%82+Dzie%C5%BCok/data=!4m7!3m6!1s0x47114ffa5e0af90b:0x846cf117d25df70e!8m2!3d50.0894043!4d18.5562531!16s%2Fg%2F11rk8m_sc6!19sChIJC_kKXvpPEUcRDvdd0hfxbIQ?authuser=0&hl=pl&rclk=1"
Usługi blacharsko - lakiernicze MB-AUTOCOMPLEX,"Strąkowska 54a, 44-207 Rybnik",795 069 910,,"4,6",21,Lakiernik samochodowy,https://www.google.com/maps/place/Us%C5%82ugi+blacharsko+-+lakiernicze+MB-AUTOCOMPLEX/data=!4m7!3m6!1s0x47114f045140f4f1:0xd83dd1ad7029444!8m2!3d50.1233418!4d18.5596001!16s%2Fg%2F11hdxzybb7!19sChIJ8fRAUQRPEUcRRJQC1xrdgw0?authuser=0&hl=pl&rclk=1
"Wala Mirosław. Mechanika pojazdowa, blacharstwo, lakiernictwo","Zygmunta Starego 43, 44-270 Rybnik",660 739 623,,"4,8",102,Mechanik samochodowy,"https://www.google.com/maps/place/Wala+Miros%C5%82aw.+Mechanika+pojazdowa,+blacharstwo,+lakiernictwo/data=!4m7!3m6!1s0x47114fdf92504ed5:0x63db0cb3133e1de3!8m2!3d50.0719899!4d18.4814599!16s%2Fg%2F11rjkksq4l!19sChIJ1U5Qkt9PEUcR4x0-E7MM22M?authuser=0&hl=pl&rclk=1"
Warsztat,"Zakole 2, 44-270 Rybnik",505 120 721,,"4,4",19,Warsztat samochodowy,https://www.google.com/maps/place/Warsztat/data=!4m7!3m6!1s0x47114f2282e28017:0xf64ccb468f479d97!8m2!3d50.0650508!4d18.4857583!16s%2Fg%2F11flf0yvgq!19sChIJF4DigiJPEUcRl51Hj0bLTPY?authuser=0&hl=pl&rclk=1
Warsztat samochodowy Tomi-car Tomasz Knura,"Krzywa 23A, 44-217 Rybnik",,,"4,8",102,Warsztat samochodowy,https://www.google.com/maps/place/Warsztat+samochodowy+Tomi-car+Tomasz+Knura/data=!4m7!3m6!1s0x47114f749e5ebed7:0xcf7a79367f96b3c9!8m2!3d50.1040587!4d18.501127!16s%2Fg%2F11pcvglb0m!19sChIJ175ennRPEUcRybOWfzZ5es8?authuser=0&hl=pl&rclk=1
"Śliwa T. Mechanika pojazdowa, autonaprawa, serwis instalacji gazowych","Józefa Rymera 3, 44-270 Rybnik",506 760 358,,"4,8",102,Warsztat samochodowy,"https://www.google.com/maps/place/%C5%9Aliwa+T.+Mechanika+pojazdowa,+autonaprawa,+serwis+instalacji+gazowych/data=!4m7!3m6!1s0x47114fa142dfa14f:0x11a59a453edd273a!8m2!3d50.0646051!4d18.4958082!16s%2Fg%2F1ptwnyk2r!19sChIJT6HfQqFPEUcROifdPkWapRE?authuser=0&hl=pl&rclk=1"
